gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
Jarid2,2,4,1.451318756740857,2.295043282611587,0.6323709743240071
1810026B05Rik,0,1,0.0,0.2219227313566936,0.0
Ccdc189,0,2,0.0,0.6264014623416055,0.0
Ano10,0,1,0.0,0.24797843665768196,0.0
Uxs1,0,1,0.0,0.5911949685534591,0.0
Qdpr,2,2,0.7940876556525149,0.6976930941537318,0.7940876556525149
Map3k12,2,3,0.4623198352779684,2.278816446368159,0.20287717161897179
Pcdhga6,0,1,0.0,0.2340862422997947,0.0
Paqr8,1,3,0.027355623100303914,2.6140696088192947,0.010464764598468254
Nt5dc3,0,1,0.0,0.17517241379310347,0.0
Cnnm2,1,3,0.2917933130699088,1.639185899724911,0.17801111705443398
Ifrd2,0,1,0.0,0.5831087151841869,0.0
Pcdhga3,0,1,0.0,0.2340862422997947,0.0
Tcerg1,1,1,0.38387096774193546,0.5795148247978437,0.38387096774193546
Fads2,0,1,0.0,0.28481581311769993,0.0
Rap2b,2,3,1.2656534954407292,1.8496265699016197,0.6842751483117203
Cdca2,3,3,2.8717129130306893,2.7769589587667687,1.0341214816894522
Usf3,0,1,0.0,0.33872416891284823,0.0
Serf2,0,1,0.0,0.06469002695417791,0.0
Hk1,0,2,0.0,0.5322573801129457,0.0
Mphosph9,0,1,0.0,0.10332434860736746,0.0
Ddx42,0,2,0.0,0.2853213192603375,0.0
Slc22a5,0,1,0.0,0.46001796945193174,0.0
Ahsa2,0,1,0.0,0.6828391734052112,0.0
Ppp2r2b,1,3,0.042553191489361715,1.199299001793955,0.03548172009291186
Hnrnpul1,2,0,0.3708893028728306,0.0,0.3708893028728306
Rras,1,2,0.2806451612903226,1.162916008303126,0.24132883139155267
Cwc15,0,1,0.0,0.12488769092542684,0.0
Arf2,0,1,0.0,0.23539982030548073,0.0
Gt(ROSA)26Sor,0,2,0.0,0.5034222511385817,0.0
Zbtb7a,0,3,0.0,2.475583932436998,0.0
Gm38182,0,1,0.0,0.2340862422997947,0.0
Syt1,0,1,0.0,0.03593890386343219,0.0
Fem1c,1,3,0.009118541033434681,1.4383918212083429,0.006339399945819014
Gsk3a,2,3,1.787724286694774,2.86694449528558,0.6235643172145531
Prr11,2,3,1.1629865673105206,2.6731498815534094,0.4350622370020984
Rab26,2,3,0.9826649671536425,2.5971596204034393,0.3783614066050344
Grpel1,0,1,0.0,0.3728661275831087,0.0
Cand1,1,2,0.5870967741935484,0.7075800105338167,0.5870967741935484
Fam210b,0,1,0.0,0.2884097035040431,0.0
Gas1,0,2,0.0,0.7543600706385353,0.0
Sel1l,0,1,0.0,0.18508535489667563,0.0
Ebag9,0,1,0.0,0.28212039532794253,0.0
Usp20,0,3,0.0,1.5911121256011633,0.0
Igf1r,0,3,0.0,0.636554158150644,0.0
Aco1,1,2,0.2645161290322581,0.4300858196238808,0.2645161290322581
R3hdm1,3,3,1.9989345360656277,2.7102182232992273,0.7375548281983975
Oard1,2,3,0.8223159133248357,1.9543721859908891,0.42075706931323936
Pcdhgb4,0,1,0.0,0.2340862422997947,0.0
Specc1,2,4,0.49981370722619867,1.4053229326048855,0.3556575471943317
1700123O20Rik,0,2,0.0,1.0421191560553955,0.0
Wscd1,1,0,0.2613981762917933,0.0,0.2613981762917933
Rnf5,2,3,1.375144622021767,2.821268858588633,0.48742062204936265
Rin2,0,2,0.0,0.9594770269851598,0.0
Ndufs2,0,1,0.0,0.10601976639712493,0.0
Wbp1l,0,1,0.0,0.26055705300988324,0.0
Brpf1,1,4,0.2064516129032258,2.1261875580471634,0.09709943608777635
Psme2,1,3,0.24193548387096772,1.2288953036723502,0.19687233171774973
Armc10,0,1,0.0,0.3791554357592094,0.0
Tomm40,3,3,2.683998431218747,2.930670108638016,0.915830964156554
Ggct,0,1,0.0,0.20575022461814918,0.0
Mtrf1l,1,0,0.3465045592705167,0.0,0.3465045592705167
Psat1,0,1,0.0,0.3544827586206896,0.0
Cdkl3,0,1,0.0,0.19856244384546273,0.0
Sfr1,0,1,0.0,0.4438454627133872,0.0
Hbp1,3,3,2.3782919894107266,2.889055568077637,0.8232074231072095
Eef1g,0,1,0.0,0.016427104722792647,0.0
Fbxo5,0,1,0.0,0.582210242587601,0.0
Stx8,1,1,0.2553191489361702,0.5588499550763703,0.2553191489361702
Uhrf1,1,1,0.14285714285714282,0.6579310344827586,0.14285714285714282
Kpna3,0,1,0.0,0.6666666666666667,0.0
