annotation,count,percentage
"Exon (ENSMUST00000040111.9/209683, exon 7 of 24)",1,0.007411799584939223
"Exon (ENSMUST00000040275.8/109205, exon 6 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000040599.14/215690, exon 3 of 30)",1,0.007411799584939223
"Exon (ENSMUST00000040636.8/56546, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000041124.12/170753, exon 5 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000041369.7/56468, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000041965.4/217866, exon 15 of 37)",1,0.007411799584939223
"Exon (ENSMUST00000042861.6/74732, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000043650.7/433940, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000043983.10/78908, exon 8 of 11)",1,0.007411799584939223
"Exon (ENSMUST00000044415.15/228961, exon 10 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000044442.9/71461, exon 2 of 20)",1,0.007411799584939223
"Exon (ENSMUST00000044533.8/69453, exon 9 of 13)",1,0.007411799584939223
"Exon (ENSMUST00000044798.3/241769, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000044828.13/329252, exon 18 of 18)",1,0.007411799584939223
"Exon (ENSMUST00000045738.4/22348, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000046351.6/233067, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000046384.8/12260, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000046565.12/11878, exon 4 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000046659.13/242667, exon 7 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000046659.13/242667, exon 9 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000046897.12/74735, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000047393.6/13019, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000047441.13/380698, exon 14 of 104)",1,0.007411799584939223
"Exon (ENSMUST00000047951.8/230904, exon 2 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000048452.5/84094, exon 3 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000048544.13/76895, exon 5 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000048572.6/15284, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000048935.5/240590, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000049149.14/16971, exon 9 of 89)",1,0.007411799584939223
"Exon (ENSMUST00000049156.6/74347, exon 5 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000049308.8/16440, exon 40 of 58)",1,0.007411799584939223
"Exon (ENSMUST00000049308.8/16440, exon 48 of 58)",1,0.007411799584939223
"Exon (ENSMUST00000049400.14/107351, exon 5 of 14)",1,0.007411799584939223
"Exon (ENSMUST00000049927.5/ENSMUST00000049927.5, exon 1 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000050372.9/241324, exon 3 of 13)",1,0.007411799584939223
"Exon (ENSMUST00000050434.5/236690, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000050519.7/243312, exon 2 of 2)",2,0.014823599169878446
"Exon (ENSMUST00000051016.4/109305, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000051089.3/ENSMUST00000051089.3, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000051293.7/80290, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000051301.5/19290, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000051676.6/100342, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000052125.6/58220, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000052440.7/ENSMUST00000052440.7, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000052888.8/ENSMUST00000052888.8, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000052969.14/108800, exon 5 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000053239.3/20607, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000053288.5/237988, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000053317.11/12064, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000053392.10/71131, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000053568.1/235402, exon 4 of 4)",2,0.014823599169878446
"Exon (ENSMUST00000054145.7/320808, exon 9 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000054449.13/18810, exon 28 of 33)",1,0.007411799584939223
"Exon (ENSMUST00000054449.13/18810, exon 32 of 33)",1,0.007411799584939223
"Exon (ENSMUST00000054449.13/18810, exon 33 of 33)",3,0.02223539875481767
"Exon (ENSMUST00000054920.4/329828, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000055221.8/210741, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000055294.3/23893, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000055341.6/328232, exon 2 of 2)",2,0.014823599169878446
"Exon (ENSMUST00000055408.12/75665, exon 6 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000055433.4/211949, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000055535.8/235472, exon 10 of 20)",1,0.007411799584939223
"Exon (ENSMUST00000056774.15/675325, exon 4 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000056946.7/214854, exon 2 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000056977.13/12399, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000056978.7/16553, exon 32 of 38)",1,0.007411799584939223
"Exon (ENSMUST00000057090.11/68760, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000057613.2/242316, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000057831.7/68709, exon 7 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000057927.9/69903, exon 5 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000058045.4/242915, exon 4 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000058652.5/15478, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000058997.14/207259, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000059193.6/14062, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000059204.10/448987, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000059737.2/ENSMUST00000059737.2, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000060501.4/12578, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000061169.6/545276, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000061244.14/13846, exon 4 of 17)",1,0.007411799584939223
"Exon (ENSMUST00000061273.11/59036, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000061390.8/243853, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000061427.9/330119, exon 20 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000061850.4/74653, exon 4 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000061890.7/101095, exon 8 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000062241.10/81897, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000062522.8/ENSMUST00000062522.8, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000063465.11/22418, exon 4 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000065196.12/20271, exon 27 of 27)",2,0.014823599169878446
"Exon (ENSMUST00000067444.9/14580, exon 5 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000067841.7/16370, exon 1 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000069399.6/74901, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000069457.1/ENSMUST00000069457.1, exon 1 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000069520.10/20977, exon 6 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000070864.13/12287, exon 19 of 46)",1,0.007411799584939223
"Exon (ENSMUST00000070890.5/71797, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000071101.7/ENSMUST00000071101.7, exon 1 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000073391.4/546726, exon 5 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000073870.6/435391, exon 3 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000075044.9/99377, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000075044.9/99377, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000075290.7/225742, exon 8 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000075317.11/68070, exon 19 of 24)",1,0.007411799584939223
"Exon (ENSMUST00000075827.4/16450, exon 26 of 26)",1,0.007411799584939223
"Exon (ENSMUST00000076251.6/319748, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000076703.6/ENSMUST00000076703.6, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000077282.6/226255, exon 17 of 29)",1,0.007411799584939223
"Exon (ENSMUST00000077962.7/240444, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000078419.1/ENSMUST00000078419.1, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000078508.6/170574, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000078757.7/53897, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000078886.9/56381, exon 11 of 15)",2,0.014823599169878446
"Exon (ENSMUST00000079881.10/272347, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000080795.8/434280, exon 7 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000081525.3/71904, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000081544.12/116837, exon 7 of 32)",1,0.007411799584939223
"Exon (ENSMUST00000081619.9/14218, exon 15 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000082209.12/20273, exon 27 of 27)",2,0.014823599169878446
"Exon (ENSMUST00000084207.11/234094, exon 17 of 29)",1,0.007411799584939223
"Exon (ENSMUST00000084593.2/ENSMUST00000084593.2, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000086195.6/100503355, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000086545.4/381113, exon 6 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000086639.5/11682, exon 29 of 29)",1,0.007411799584939223
"Exon (ENSMUST00000087723.4/18131, exon 24 of 33)",1,0.007411799584939223
"Exon (ENSMUST00000087971.10/22722, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000088292.6/381810, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000088373.10/259302, exon 21 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000088677.4/15552, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000088904.9/227357, exon 9 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000089299.5/504193, exon 5 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000090147.6/26363, exon 2 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000090247.6/223435, exon 35 of 57)",1,0.007411799584939223
"Exon (ENSMUST00000090558.9/53883, exon 2 of 34)",1,0.007411799584939223
"Exon (ENSMUST00000091704.6/319179, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000092089.5/622408, exon 6 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000092486.10/237360, exon 4 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000092723.10/239985, exon 19 of 19)",1,0.007411799584939223
"Exon (ENSMUST00000092891.5/81904, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000093299.12/114716, exon 7 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000093907.10/53860, exon 3 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000093911.10/ENSMUST00000093911.10, exon 1 of 64)",1,0.007411799584939223
"Exon (ENSMUST00000093942.4/217143, exon 11 of 11)",1,0.007411799584939223
"Exon (ENSMUST00000094103.3/54710, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000094337.1/435653, exon 4 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000094337.1/435653, exon 5 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000094464.9/69743, exon 11 of 16)",1,0.007411799584939223
"Exon (ENSMUST00000094639.9/17754, exon 5 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000094790.4/381853, exon 14 of 14)",1,0.007411799584939223
"Exon (ENSMUST00000095027.8/16764, exon 12 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000095266.2/104080, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000095333.5/327799, exon 3 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000095396.3/ENSMUST00000095396.3, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000095580.2/68802, exon 2 of 20)",1,0.007411799584939223
"Exon (ENSMUST00000095606.4/449521, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000096194.8/83921, exon 3 of 25)",1,0.007411799584939223
"Exon (ENSMUST00000097566.9/104027, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000100077.4/381990, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000101127.11/72313, exon 6 of 63)",1,0.007411799584939223
"Exon (ENSMUST00000102493.7/216961, exon 6 of 11)",1,0.007411799584939223
"Exon (ENSMUST00000102656.3/329934, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000102694.3/19221, exon 2 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000102694.3/19221, exon 6 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000102801.7/23964, exon 25 of 31)",1,0.007411799584939223
"Exon (ENSMUST00000102801.7/23964, exon 31 of 31)",1,0.007411799584939223
"Exon (ENSMUST00000102950.9/74309, exon 11 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000103184.3/11550, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000103205.10/20017, exon 15 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000105321.9/18029, exon 2 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000105359.7/23805, exon 15 of 15)",2,0.014823599169878446
"Exon (ENSMUST00000105378.8/216154, exon 5 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000105778.7/110593, exon 6 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000105845.8/13844, exon 3 of 16)",1,0.007411799584939223
"Exon (ENSMUST00000106051.7/97130, exon 5 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000106051.7/97130, exon 6 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000106248.7/434246, exon 7 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000106461.7/192897, exon 33 of 40)",1,0.007411799584939223
"Exon (ENSMUST00000106903.7/192775, exon 6 of 14)",1,0.007411799584939223
"Exon (ENSMUST00000107128.7/17921, exon 21 of 49)",1,0.007411799584939223
"Exon (ENSMUST00000107796.7/230125, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000107938.7/243961, exon 25 of 25)",1,0.007411799584939223
"Exon (ENSMUST00000108287.9/237868, exon 2 of 9)",1,0.007411799584939223
"Exon (ENSMUST00000108362.7/80297, exon 13 of 18)",1,0.007411799584939223
"Exon (ENSMUST00000108362.7/80297, exon 15 of 18)",1,0.007411799584939223
"Exon (ENSMUST00000108493.2/629378, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000109013.8/71774, exon 2 of 8)",1,0.007411799584939223
